Country,popData2019
Afghanistan,38041757
Albania,2862427
Algeria,43053054
Andorra,76177
Angola,31825299
Anguilla,14872
Antigua_and_Barbuda,97115
Argentina,44780675
Armenia,2957728
Aruba,106310
Australia,25203200
Austria,8858775
Azerbaijan,10047719
Bahamas,389486
Bahrain,1641164
Bangladesh,163046173
Barbados,287021
Belarus,9452409
Belgium,11455519
Belize,390351
Benin,11801151
Bermuda,62508
Bhutan,763094
Bolivia,11513102
"Bonaire, Saint Eustatius and Saba",25983
Bosnia_and_Herzegovina,3300998
Botswana,2303703
Brazil,211049519
British_Virgin_Islands,30033
Brunei_Darussalam,433296
Bulgaria,7000039
Burkina_Faso,20321383
Burundi,11530577
Cambodia,16486542
Cameroon,25876387
Canada,37411038
Cape_Verde,549936
Cases_on_an_international_conveyance_Japan,
Cayman_Islands,64948
Central_African_Republic,4745179
Chad,15946882
Chile,18952035
China,1433783692
Colombia,50339443
Comoros,850891
Congo,5380504
Costa_Rica,5047561
Cote_dIvoire,25716554
Croatia,4076246
Cuba,11333484
CuraÃƒÂ§ao,163423
Cyprus,875899
Czechia,10649800
Democratic_Republic_of_the_Congo,86790568
Denmark,5806081
Djibouti,973557
Dominica,71808
Dominican_Republic,10738957
Ecuador,17373657
Egypt,100388076
El_Salvador,6453550
Equatorial_Guinea,1355982
Eritrea,3497117
Estonia,1324820
Eswatini,1148133
Ethiopia,112078727
Falkland_Islands_(Malvinas),3372
Faroe_Islands,48677
Fiji,889955
Finland,5517919
France,67012883
French_Polynesia,279285
Gabon,2172578
Gambia,2347696
Georgia,3996762
Germany,83019213
Ghana,30417858
Gibraltar,33706
Greece,10724599
Greenland,56660
Grenada,112002
Guam,167295
Guatemala,17581476
Guernsey,64468
Guinea,12771246
Guinea_Bissau,1920917
Guyana,782775
Haiti,11263079
Holy_See,815
Honduras,9746115
Hungary,9772756
Iceland,356991
India,1366417756
Indonesia,270625567
Iran,82913893
Iraq,39309789
Ireland,4904240
Isle_of_Man,84589
Israel,8519373
Italy,60359546
Jamaica,2948277
Japan,126860299
Jersey,107796
Jordan,10101697
Kazakhstan,18551428
Kenya,52573967
Kosovo,1798506
Kuwait,4207077
Kyrgyzstan,6415851
Laos,7169456
Latvia,1919968
Lebanon,6855709
Lesotho,2125267
Liberia,4937374
Libya,6777453
Liechtenstein,38378
Lithuania,2794184
Luxembourg,613894
Madagascar,26969306
Malawi,18628749
Malaysia,31949789
Maldives,530957
Mali,19658023
Malta,493559
Mauritania,4525698
Mauritius,1269670
Mexico,127575529
Moldova,4043258
Monaco,33085
Mongolia,3225166
Montenegro,622182
Montserrat,4991
Morocco,36471766
Mozambique,30366043
Myanmar,54045422
Namibia,2494524
Nepal,28608715
Netherlands,17282163
New_Caledonia,282757
New_Zealand,4783062
Nicaragua,6545503
Niger,23310719
Nigeria,200963603
North_Macedonia,2077132
Northern_Mariana_Islands,57213
Norway,5328212
Oman,4974992
Pakistan,216565317
Palestine,4981422
Panama,4246440
Papua_New_Guinea,8776119
Paraguay,7044639
Peru,32510462
Philippines,108116622
Poland,37972812
Portugal,10276617
Puerto_Rico,2933404
Qatar,2832071
Romania,19414458
Russia,145872260
Rwanda,12626938
Saint_Kitts_and_Nevis,52834
Saint_Lucia,182795
Saint_Vincent_and_the_Grenadines,110593
San_Marino,34453
Sao_Tome_and_Principe,215048
Saudi_Arabia,34268529
Senegal,16296362
Serbia,6963764
Seychelles,97741
Sierra_Leone,7813207
Singapore,5804343
Sint_Maarten,42389
Slovakia,5450421
Slovenia,2080908
Somalia,15442906
South_Africa,58558267
South_Korea,51225321
South_Sudan,11062114
Spain,46937060
Sri_Lanka,21323734
Sudan,42813237
Suriname,581363
Sweden,10230185
Switzerland,8544527
Syria,17070132
Taiwan,23773881
Tajikistan,9321023
Thailand,69625581
Timor_Leste,1293120
Togo,8082359
Trinidad_and_Tobago,1394969
Tunisia,11694721
Turkey,82003882
Turks_and_Caicos_islands,38194
Uganda,44269587
Ukraine,43993643
United_Arab_Emirates,9770526
United_Kingdom,66647112
United_Republic_of_Tanzania,58005461
United_States_of_America,329064917
United_States_Virgin_Islands,104579
Uruguay,3461731
Uzbekistan,32981715
Venezuela,28515829
Vietnam,96462108
Western_Sahara,582458
Yemen,29161922
Zambia,17861034
Zimbabwe,14645473
